0.000 	 -70.000 	 0.000 
0.050 	 -69.873 	 0.000 
0.100 	 -69.746 	 0.000 
0.150 	 -69.620 	 0.000 
0.200 	 -69.494 	 0.000 
0.250 	 -69.368 	 0.001 
0.300 	 -69.243 	 0.001 
0.350 	 -69.119 	 0.001 
0.400 	 -68.994 	 0.001 
0.450 	 -68.870 	 0.002 
0.500 	 -68.746 	 0.002 
0.550 	 -68.623 	 0.003 
0.600 	 -68.500 	 0.003 
0.650 	 -68.378 	 0.004 
0.700 	 -68.255 	 0.004 
0.750 	 -68.134 	 0.005 
0.800 	 -68.012 	 0.005 
0.850 	 -67.891 	 0.006 
0.900 	 -67.770 	 0.007 
0.950 	 -67.650 	 0.008 
1.000 	 -67.530 	 0.008 
1.050 	 -67.410 	 0.009 
1.100 	 -67.291 	 0.010 
1.150 	 -67.172 	 0.011 
1.200 	 -67.053 	 0.012 
1.250 	 -66.935 	 0.013 
1.300 	 -66.817 	 0.014 
1.350 	 -66.700 	 0.015 
1.400 	 -66.583 	 0.016 
1.450 	 -66.466 	 0.017 
1.500 	 -66.349 	 0.018 
1.550 	 -66.233 	 0.020 
1.600 	 -66.117 	 0.021 
1.650 	 -66.002 	 0.022 
1.700 	 -65.887 	 0.024 
1.750 	 -65.772 	 0.025 
1.800 	 -65.658 	 0.026 
1.850 	 -65.544 	 0.028 
1.900 	 -65.430 	 0.029 
1.950 	 -65.317 	 0.031 
2.000 	 -65.204 	 0.033 
2.050 	 -65.091 	 0.034 
2.100 	 -64.979 	 0.036 
2.150 	 -64.867 	 0.037 
2.200 	 -64.755 	 0.039 
2.250 	 -64.644 	 0.041 
2.300 	 -64.533 	 0.043 
2.350 	 -64.422 	 0.045 
2.400 	 -64.312 	 0.046 
2.450 	 -64.202 	 0.048 
2.500 	 -64.092 	 0.050 
2.550 	 -63.982 	 0.052 
2.600 	 -63.873 	 0.054 
2.650 	 -63.765 	 0.056 
2.700 	 -63.656 	 0.058 
2.750 	 -63.548 	 0.061 
2.800 	 -63.441 	 0.063 
2.850 	 -63.333 	 0.065 
2.900 	 -63.226 	 0.067 
2.950 	 -63.119 	 0.069 
3.000 	 -63.013 	 0.072 
3.050 	 -62.907 	 0.074 
3.100 	 -62.801 	 0.076 
3.150 	 -62.696 	 0.079 
3.200 	 -62.590 	 0.081 
3.250 	 -62.485 	 0.084 
3.300 	 -62.381 	 0.086 
3.350 	 -62.277 	 0.089 
3.400 	 -62.173 	 0.091 
3.450 	 -62.069 	 0.094 
3.500 	 -61.966 	 0.097 
3.550 	 -61.863 	 0.099 
3.600 	 -61.760 	 0.102 
3.650 	 -61.658 	 0.105 
3.700 	 -61.556 	 0.108 
3.750 	 -61.454 	 0.110 
3.800 	 -61.353 	 0.113 
3.850 	 -61.251 	 0.116 
3.900 	 -61.151 	 0.119 
3.950 	 -61.050 	 0.122 
4.000 	 -60.950 	 0.125 
4.050 	 -60.850 	 0.128 
4.100 	 -60.750 	 0.131 
4.150 	 -60.651 	 0.134 
4.200 	 -60.552 	 0.137 
4.250 	 -60.453 	 0.140 
4.300 	 -60.355 	 0.143 
4.350 	 -60.256 	 0.147 
4.400 	 -60.159 	 0.150 
4.450 	 -60.061 	 0.153 
4.500 	 -59.964 	 0.157 
4.550 	 -59.867 	 0.160 
4.600 	 -59.770 	 0.163 
4.650 	 -59.674 	 0.167 
4.700 	 -59.577 	 0.170 
4.750 	 -59.482 	 0.174 
4.800 	 -59.386 	 0.177 
4.850 	 -59.291 	 0.181 
4.900 	 -59.196 	 0.184 
4.950 	 -59.101 	 0.188 
5.000 	 -59.007 	 0.191 
5.050 	 -58.912 	 0.195 
5.100 	 -58.819 	 0.199 
5.150 	 -58.725 	 0.202 
5.200 	 -58.632 	 0.206 
5.250 	 -58.539 	 0.210 
5.300 	 -58.446 	 0.214 
5.350 	 -58.353 	 0.217 
5.400 	 -58.261 	 0.221 
5.450 	 -58.169 	 0.225 
5.500 	 -58.078 	 0.229 
5.550 	 -57.986 	 0.233 
5.600 	 -57.895 	 0.237 
5.650 	 -57.804 	 0.241 
5.700 	 -57.714 	 0.245 
5.750 	 -57.623 	 0.249 
5.800 	 -57.533 	 0.253 
5.850 	 -57.443 	 0.257 
5.900 	 -57.354 	 0.262 
5.950 	 -57.265 	 0.266 
6.000 	 -57.176 	 0.270 
6.050 	 -57.087 	 0.274 
6.100 	 -56.998 	 0.278 
6.150 	 -56.910 	 0.283 
6.200 	 -56.822 	 0.287 
6.250 	 -56.735 	 0.291 
6.300 	 -56.647 	 0.296 
6.350 	 -56.560 	 0.300 
6.400 	 -56.473 	 0.305 
6.450 	 -56.386 	 0.309 
6.500 	 -56.300 	 0.314 
6.550 	 -56.214 	 0.318 
6.600 	 -56.128 	 0.323 
6.650 	 -56.042 	 0.327 
6.700 	 -55.956 	 0.332 
6.750 	 -55.871 	 0.337 
6.800 	 -55.786 	 0.341 
6.850 	 -55.701 	 0.346 
6.900 	 -55.617 	 0.351 
6.950 	 -55.533 	 0.355 
7.000 	 -55.449 	 0.360 
7.050 	 -55.365 	 0.365 
7.100 	 -55.281 	 0.370 
7.150 	 -55.198 	 0.375 
7.200 	 -55.115 	 0.380 
7.250 	 -55.032 	 0.385 
7.300 	 -54.950 	 0.389 
7.350 	 -54.867 	 0.394 
7.400 	 -54.785 	 0.399 
7.450 	 -54.703 	 0.404 
7.500 	 -54.621 	 0.409 
7.550 	 -54.540 	 0.415 
7.600 	 -54.459 	 0.420 
7.650 	 -54.377 	 0.425 
7.700 	 -54.297 	 0.430 
7.750 	 -54.216 	 0.435 
7.800 	 -54.136 	 0.440 
7.850 	 -54.055 	 0.446 
7.900 	 -53.975 	 0.451 
