0.000 	 0.0 	0.000 	0.000 	0.000 	0.000 	
0.050 	 0.0 	0.158 	0.003 	0.010 	0.003 	
0.100 	 0.0 	0.313 	0.006 	0.018 	0.007 	
0.150 	 0.0 	0.467 	0.009 	0.025 	0.010 	
0.200 	 0.0 	0.618 	0.012 	0.031 	0.014 	
0.250 	 0.0 	0.767 	0.015 	0.036 	0.017 	
0.300 	 0.0 	0.914 	0.017 	0.040 	0.020 	
0.350 	 0.0 	1.059 	0.020 	0.044 	0.023 	
0.400 	 0.0 	1.203 	0.023 	0.047 	0.027 	
0.450 	 0.0 	1.345 	0.026 	0.049 	0.030 	
0.500 	 0.0 	1.486 	0.029 	0.052 	0.033 	
0.550 	 0.0 	1.625 	0.032 	0.054 	0.036 	
0.600 	 0.0 	1.763 	0.035 	0.056 	0.039 	
0.650 	 0.0 	1.899 	0.038 	0.057 	0.042 	
0.700 	 0.0 	2.035 	0.041 	0.059 	0.045 	
0.750 	 0.0 	2.169 	0.044 	0.061 	0.047 	
0.800 	 0.0 	2.302 	0.046 	0.062 	0.050 	
0.850 	 0.0 	2.435 	0.049 	0.063 	0.053 	
0.900 	 0.0 	2.566 	0.052 	0.065 	0.056 	
0.950 	 0.0 	2.697 	0.055 	0.066 	0.059 	
1.000 	 0.0 	2.826 	0.058 	0.067 	0.061 	
1.050 	 0.0 	2.955 	0.061 	0.068 	0.064 	
1.100 	 0.0 	3.083 	0.064 	0.069 	0.067 	
1.150 	 0.0 	3.211 	0.067 	0.070 	0.069 	
1.200 	 0.0 	3.338 	0.069 	0.072 	0.072 	
1.250 	 0.0 	3.464 	0.072 	0.073 	0.074 	
1.300 	 0.0 	3.590 	0.075 	0.074 	0.077 	
1.350 	 0.0 	3.716 	0.078 	0.075 	0.079 	
1.400 	 0.0 	3.841 	0.081 	0.076 	0.081 	
1.450 	 0.0 	3.966 	0.084 	0.077 	0.084 	
1.500 	 0.0 	4.091 	0.086 	0.078 	0.086 	
1.550 	 0.0 	4.215 	0.089 	0.079 	0.088 	
1.600 	 0.0 	4.340 	0.092 	0.081 	0.091 	
1.650 	 0.0 	4.465 	0.095 	0.082 	0.093 	
1.700 	 0.0 	4.589 	0.098 	0.083 	0.095 	
1.750 	 0.0 	4.714 	0.101 	0.084 	0.097 	
1.800 	 0.0 	4.839 	0.103 	0.085 	0.099 	
1.850 	 0.0 	4.965 	0.106 	0.086 	0.101 	
1.900 	 0.0 	5.090 	0.109 	0.087 	0.103 	
1.950 	 0.0 	5.217 	0.112 	0.089 	0.105 	
2.000 	 0.0 	5.343 	0.115 	0.090 	0.107 	
2.050 	 0.0 	5.471 	0.117 	0.091 	0.109 	
2.100 	 0.0 	5.599 	0.120 	0.092 	0.111 	
2.150 	 0.0 	5.728 	0.123 	0.094 	0.113 	
2.200 	 0.0 	5.858 	0.126 	0.095 	0.115 	
2.250 	 0.0 	5.988 	0.129 	0.096 	0.117 	
2.300 	 0.0 	6.120 	0.131 	0.097 	0.119 	
2.350 	 0.0 	6.253 	0.134 	0.099 	0.120 	
2.400 	 0.0 	6.388 	0.137 	0.100 	0.122 	
2.450 	 0.0 	6.524 	0.140 	0.102 	0.124 	
2.500 	 0.0 	6.661 	0.143 	0.103 	0.126 	
